"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0M650","2020-03-16 00:00:00","20.000","80.000","0.500","16.700","0.750","1017.900","","0.000","-99.000","-99.000","-99.000","23.100","","15.000",""
"C0S910","2020-03-16 00:00:00","212.000","211.000","1.500","18.400","0.990","997.400","","0.500","-99.000","-99.000","-99.000","18.500","","16.900",""
"C0D570","2020-03-16 00:00:00","15.000","0.000","0.000","11.500","0.870","1019.100","","0.000","-99.000","-99.000","-99.000","23.000","","11.500",""
"C0M710","2020-03-16 00:00:00","15.000","0.000","0.200","17.400","0.720","1018.300","","0.000","-99.000","-99.000","-99.000","22.100","","15.400",""
"C0V490","2020-03-16 00:00:00","20.000","0.000","0.000","20.900","0.610","1017.600","","0.000","-99.000","-99.000","-99.000","23.000","","17.200",""
"C0E870","2020-03-16 00:00:00","34.000","122.000","1.000","13.000","0.880","1018.200","","0.000","-99.000","-99.000","-99.000","21.800","","12.800",""
"C0M800","2020-03-16 00:00:00","440.000","0.000","0.000","16.000","0.900","969.900","","1.500","-99.000","-99.000","-99.000","19.600","","15.100",""
"C0A570","2020-03-16 00:00:00","360.000","95.000","1.200","9.900","0.970","980.500","","0.000","-99.000","-99.000","-99.000","17.200","","9.400",""
"C0S790","2020-03-16 00:00:00","236.000","334.000","0.800","14.900","0.830","996.200","","0.500","-99.000","-99.000","-99.000","16.600","","14.300",""
"C0D590","2020-03-16 00:00:00","143.000","54.000","1.500","12.800","0.730","1005.000","","0.000","-99.000","-99.000","-99.000","20.100","","11.800",""
"C0U990","2020-03-16 00:00:00","31.000","255.000","1.600","13.600","0.740","1019.700","","0.000","-99.000","-99.000","-99.000","19.600","","12.700",""
"C0M700","2020-03-16 00:00:00","150.000","75.000","0.700","17.000","0.920","1003.200","","0.000","-99.000","-99.000","-99.000","23.900","","14.200",""
"C0A970","2020-03-16 00:00:00","96.000","56.000","3.500","15.100","0.710","1012.000","","0.000","-99.000","-99.000","-99.000","20.600","","14.200",""
"CM0110","2020-03-16 00:00:00","7.000","161.000","0.300","16.300","0.640","1019.400","","-99.000","-99.000","-99.000","-99.000","21.500","","15.600",""
"C0S940","2020-03-16 00:00:00","150.000","334.000","1.500","16.500","0.700","1004.200","","0.000","-99.000","-99.000","-99.000","16.600","","14.300",""
"C0X250","2020-03-16 00:00:00","33.000","0.000","0.200","18.100","0.720","1016.000","","0.000","-99.000","-99.000","-99.000","24.700","","15.500",""
"C0K520","2020-03-16 00:00:00","10.000","53.000","1.200","17.200","0.650","1017.800","","0.000","-99.000","-99.000","-99.000","22.400","","14.800",""
"C0Z200","2020-03-16 00:00:00","153.000","0.000","0.100","14.300","0.990","1005.400","","0.000","-99.000","-99.000","-99.000","17.000","","13.900",""
"C0V740","2020-03-16 00:00:00","60.000","328.000","1.200","17.800","0.850","1014.000","","0.000","-99.000","-99.000","-99.000","23.700","","16.000",""
"C0V790","2020-03-16 00:00:00","410.000","0.000","0.100","16.500","0.820","971.800","","0.000","-99.000","-99.000","-99.000","23.000","","14.800",""
"C0G860","2020-03-16 00:00:00","45.000","0.000","0.200","17.500","0.770","1013.400","","0.000","-99.000","-99.000","-99.000","24.200","","14.100",""
"C0Z250","2020-03-16 00:00:00","1124.000","0.000","0.100","8.100","0.990","895.200","","6.000","-99.000","-99.000","-99.000","9.500","","7.800",""
"C0K440","2020-03-16 00:00:00","35.000","0.000","0.000","17.000","0.650","1016.000","","0.000","-99.000","-99.000","-99.000","23.600","","14.800",""
"C0T900","2020-03-16 00:00:00","160.000","269.000","0.700","14.800","0.730","1002.000","","0.000","-99.000","-99.000","-99.000","17.600","","13.500",""
"C0F9V0","2020-03-16 00:00:00","525.000","168.000","1.900","15.100","0.850","960.100","","0.000","-99.000","-99.000","-99.000","20.400","","10.700",""
"C0UA20","2020-03-16 00:00:00","2619.000","205.000","3.500","2.300","0.320","-99.000","","0.000","-99.000","-99.000","-99.000","10.500","","0.700",""
"C0M850","2020-03-16 00:00:00","695.000","0.000","0.000","13.700","0.990","940.100","","2.500","-99.000","-99.000","-99.000","20.100","","13.400",""
"C0C620","2020-03-16 00:00:00","19.000","103.000","3.300","15.700","0.620","1017.500","","0.000","-99.000","-99.000","-99.000","21.400","","11.200",""
"C0I360","2020-03-16 00:00:00","300.000","38.000","2.400","15.800","0.870","984.200","","0.000","-99.000","-99.000","-99.000","20.400","","13.100",""
"C0M810","2020-03-16 00:00:00","1354.000","179.000","0.800","8.900","0.990","869.500","","3.000","-99.000","-99.000","-99.000","12.900","","8.700",""
"C0AC80","2020-03-16 00:00:00","40.000","0.000","0.000","13.400","0.720","1016.700","","0.000","-99.000","-99.000","-99.000","19.600","","11.300",""
"CM0140","2020-03-16 00:00:00","26.000","4.000","0.700","18.300","0.580","1019.400","","0.000","-99.000","-99.000","-99.000","18.400","","15.800",""
"C0SA20","2020-03-16 00:00:00","857.000","357.000","1.500","10.500","0.980","924.100","","0.500","-99.000","-99.000","-99.000","11.600","","10.400",""
"C0K490","2020-03-16 00:00:00","91.000","0.000","0.000","17.400","0.770","1009.000","","0.000","-99.000","-99.000","-99.000","23.400","","13.500",""
"C0V820","2020-03-16 00:00:00","441.000","0.000","0.000","15.600","0.990","971.600","","1.500","-99.000","-99.000","-99.000","22.700","","14.800",""
"C0S810","2020-03-16 00:00:00","65.000","327.000","2.000","16.500","0.750","1016.700","","0.000","-99.000","-99.000","-99.000","18.400","","15.800",""
"C0R580","2020-03-16 00:00:00","10.000","97.000","0.500","19.100","0.790","1018.600","","0.000","-99.000","-99.000","-99.000","22.200","","17.100",""
"C0Z330","2020-03-16 00:00:00","488.000","0.000","0.000","12.800","0.740","967.700","","2.500","-99.000","-99.000","-99.000","15.200","","11.400",""
